Episode,WaitingTime,Delay,QueueLength,Volume
0,766.0,79.79504572301589,52,100
1,1934.0,88.63403793327478,85,105
2,1120.0,105.12550969630107,72,126
3,163.0,70.20904264276173,32,92
4,1367.0,106.52346110791503,71,129
5,1580.0,80.51368697655248,72,99
6,1366.0,123.25481230249727,94,138
7,927.0,78.77689603939784,67,96
8,948.0,76.31910818329192,63,95
9,1766.0,110.14981444113614,95,120
10,209.0,78.70059778831421,40,98
11,1477.0,120.84187282830395,74,139
12,1012.0,107.45716072976501,82,125
13,333.0,85.96118864514388,51,104
14,1466.0,125.64882123074901,100,143
15,799.0,120.62587797440894,67,140
16,143.0,75.42461944562393,32,96
17,1891.0,128.02179089430942,116,138
18,2818.0,115.29188926156185,110,128
19,1236.0,114.6073914287297,88,129
20,1150.0,105.19148858893155,60,120
21,731.0,118.59828221502625,76,135
22,1442.0,125.79337122929677,99,139
23,1442.0,125.79337122929677,99,139
24,5996.0,128.90146927422188,147,136
25,1412.0,104.39399642223728,75,119
26,2800.0,131.24254480220665,121,138
27,618.0,122.68995464938922,67,144
28,635.0,80.39997460842156,56,99
29,1175.0,90.2056689687378,72,109
30,11236.0,127.71210399641437,160,132
31,357.0,79.8853381123561,40,98
32,998.0,94.5869523625372,55,115
33,1253.0,110.27647173514634,71,130
34,308.0,91.73937976323018,42,114
35,2265.0,114.4963006127194,105,127
36,810.0,85.91561330410529,59,105
37,212.0,78.81728971807783,36,100
38,314.0,82.18331704959431,47,100
39,1192.0,111.58155420072619,88,125
40,1217.0,117.56450742501913,83,135
41,863.0,98.49824318393182,67,114
42,1141.0,124.69686503754488,90,142
43,569.0,80.73176092854212,56,102
44,183.0,74.40602348444936,36,95
45,346.0,90.8442009070298,46,109
46,847.0,77.34612779005072,50,97
47,532.0,89.41524964894255,43,107
48,318.0,72.89586595472495,44,93
49,195.0,81.19721141713666,37,102
50,1901.0,111.57761874053458,100,125
51,589.0,78.23752859179795,43,97
52,209.0,78.70059778831421,40,98
53,1871.0,111.36991997338883,95,126
54,74.0,72.61109432808354,22,93
55,409.0,79.65261028689426,44,100
56,265.0,81.58554794178647,35,100
57,178.0,76.9744946215537,33,96
58,147.0,82.60818280766279,28,104
59,943.0,106.99493659082609,73,126
60,1496.0,87.67194566979683,92,99
61,1871.0,111.36991997338883,95,126
62,2496.0,124.65341563425494,76,140
63,4617.0,128.98112126610079,83,143
64,1741.0,107.85584201903053,106,116
65,6252.0,131.43089796791108,149,138
66,139.0,71.54315420078053,29,91
67,546.0,79.91769788159056,53,95
68,676.0,115.39731541984585,63,134
69,70.0,71.45339956064876,20,90
70,2113.0,111.40188391876458,122,119
71,11762.0,137.69619331982898,174,142
72,1599.0,111.02743697329021,98,122
73,2019.0,118.33491510754384,94,136
74,793.0,111.1391128615769,58,131
75,182.0,73.47654388945915,33,93
76,286.0,87.2835796885202,39,106
77,387.0,70.48843805797567,46,92
78,499.0,77.60092840567613,53,96
79,253.0,77.09209000312778,37,97
80,673.0,104.2482986124654,55,124
81,110.0,77.0126426875395,30,97
82,514.0,80.16977136179815,51,99
83,827.0,87.71807992977534,48,109
84,340.0,80.64986668497826,48,100
85,465.0,91.29298663627208,46,110
86,287.0,74.91914959926437,40,94
87,1600.0,103.46447550426653,67,120
88,1509.0,111.74422770706563,86,126
89,272.0,82.51902685954546,42,101
90,194.0,76.77958985005611,36,97
91,747.0,87.48500078534207,53,108
92,461.0,90.99392193504325,44,110
93,605.0,76.55561578374416,53,94
94,276.0,81.35838834447672,34,100
95,79.0,74.97001238684264,22,95
96,672.0,87.75867128456105,51,108
97,665.0,103.941337401855,66,123
98,280.0,87.64463990401765,41,108
99,596.0,85.4894240760807,44,107
100,829.0,95.61954635115764,61,116
101,211.0,73.04437202690141,35,96
102,580.0,75.69474821106417,60,94
103,709.0,91.48831776980495,56,115
104,716.0,75.49625776294515,45,94
105,357.0,73.32786986540346,52,93
106,463.0,77.2319087508775,57,96
107,732.0,93.13696053149012,62,115
108,638.0,88.25467733956151,56,110
109,665.0,74.80109871030515,57,91
110,1430.0,97.99526152340498,62,114
111,100.0,71.97561445646238,21,93
112,351.0,72.41178572116141,42,92
113,619.0,82.30383780244142,55,100
114,276.0,81.35838834447672,34,100
115,305.0,89.22285685015214,47,111
116,650.0,88.97385829250429,54,108
117,402.0,79.49922827306719,41,100
118,1345.0,97.04451840669698,61,114
119,360.0,76.15564851062666,45,94
120,674.0,72.80296096581102,54,91
121,194.0,77.31319474032418,27,95
122,584.0,83.69545709040538,47,104
123,892.0,77.38827153348363,63,98
124,255.0,83.56258085742934,43,104
125,299.0,74.72721313753985,36,94
126,171.0,71.91772735053759,37,90
127,382.0,64.71761098468563,39,82
128,384.0,69.89467964467661,37,87
129,693.0,79.34053865840264,48,99
130,440.0,60.356655799332934,43,79
131,265.0,71.96172506720814,31,91
132,892.0,77.38827153348363,63,98
133,654.0,93.52979340298624,59,110
134,619.0,74.88212070385184,54,96
135,382.0,64.71761098468563,39,82
136,391.0,71.0190287988937,46,88
137,232.0,78.38606525153884,41,97
138,422.0,73.7717482985072,43,94
139,273.0,81.53959986978424,40,102
140,885.0,67.05010179678494,62,87
141,575.0,70.18060575141368,49,90
142,619.0,74.88212070385184,54,96
143,182.0,73.69878599389232,26,95
144,389.0,70.3708624347945,43,94
145,204.0,67.3096972954806,37,87
146,83.0,79.46854311412359,27,101
147,295.0,67.50873927195366,39,88
148,814.0,77.72389127725911,60,97
149,278.0,75.48788659405926,36,94
150,200.0,79.38687324448999,42,100
151,341.0,71.47059695627351,43,90
152,634.0,71.00056528103983,50,91
153,341.0,71.47059695627351,43,90
154,341.0,71.47059695627351,43,90
155,184.0,66.46463765322406,38,85
156,280.0,76.37595813599555,43,96
157,184.0,66.46463765322406,38,85
158,296.0,63.16394230416965,33,86
159,280.0,70.75063294207118,45,88
160,404.0,71.89951387955563,40,94
161,404.0,71.89951387955563,40,94
162,608.0,77.09377327121753,54,95
163,142.0,73.73023868386021,35,93
164,264.0,65.77347111015918,32,88
165,367.0,76.71402164173799,38,96
166,362.0,72.5802216548668,44,96
167,620.0,74.68492895657378,49,95
168,369.0,76.25791695499396,39,94
169,366.0,72.54178003341906,41,96
170,830.0,74.26504242221709,58,96
171,404.0,71.89951387955563,40,94
172,368.0,62.848015645985775,46,85
173,387.0,66.81186232666545,35,86
174,839.0,75.31852264414628,53,98
175,404.0,71.89951387955563,40,94
176,314.0,63.689659183153374,39,83
177,404.0,71.89951387955563,40,94
178,373.0,67.42904357821915,32,88
179,264.0,65.77347111015918,32,88
180,812.0,79.24182344057533,52,97
181,309.0,74.75238028170061,40,96
182,782.0,79.7774144386527,52,96
183,295.0,70.83767374967897,34,93
184,393.0,69.52066759199755,36,88
185,264.0,65.77347111015918,32,88
186,264.0,70.66717469246551,40,90
187,295.0,59.66994274325141,35,80
188,113.0,65.63768189993348,27,87
189,312.0,69.79521851904435,29,91
190,264.0,65.77347111015918,32,88
191,265.0,62.6372890997952,34,82
192,634.0,71.00056528103983,50,91
193,230.0,63.159727790048386,32,86
194,689.0,80.40597450469524,56,101
195,247.0,76.50526855504154,33,96
196,180.0,63.54442711565247,35,85
197,215.0,62.22253212935534,32,82
198,496.0,58.88853449133838,41,82
199,341.0,68.2895942792819,38,85
200,281.0,72.85120870397931,38,90
201,319.0,68.1991407403909,46,88
202,209.0,72.8789458037389,35,94
203,404.0,71.89951387955563,40,94
204,509.0,79.27492299799648,41,100
205,204.0,63.83750161126678,39,84
206,444.0,70.73189519683984,32,90
207,263.0,67.23394035231732,40,89
208,619.0,74.88212070385184,54,96
209,283.0,68.64947102257436,35,90
210,440.0,60.356655799332934,43,79
211,575.0,70.18060575141368,49,90
212,892.0,77.38827153348363,63,98
213,892.0,77.38827153348363,63,98
214,104.0,74.16886359164113,20,96
215,382.0,64.71761098468563,39,82
216,331.0,77.55287962588378,47,95
217,360.0,74.34755399264625,47,96
218,331.0,77.55287962588378,47,95
219,135.0,74.57285604623834,35,95
220,331.0,77.55287962588378,47,95
221,1135.0,75.83973344379736,64,93
222,813.0,74.90394792759625,64,95
223,355.0,55.23762745038979,39,78
224,70.0,71.9117930108739,17,92
225,971.0,79.80264728598131,60,100
226,258.0,73.08357928066032,36,93
227,588.0,65.08336154712067,39,84
228,178.0,70.23229208465054,35,93
229,348.0,74.6542449500648,42,97
230,222.0,74.69924148976054,44,94
231,378.0,74.1417786786058,48,94
232,1312.0,75.09293507948641,65,94
233,262.0,70.01554427389169,41,93
234,264.0,71.00754112772162,40,92
235,580.0,75.69474821106417,60,94
236,233.0,72.97038348975371,29,93
237,580.0,75.69474821106417,60,94
238,681.0,75.75065136275546,64,94
239,176.0,72.82052995810963,30,93
240,580.0,75.69474821106417,60,94
241,70.0,71.9117930108739,17,92
242,659.0,72.74895873250568,52,91
243,580.0,75.69474821106417,60,94
244,580.0,75.69474821106417,60,94
245,301.0,76.8724080805535,44,97
246,1337.0,82.74198981790931,69,103
247,580.0,75.69474821106417,60,94
248,580.0,75.69474821106417,60,94
249,269.0,77.65433524325032,46,95
250,580.0,75.69474821106417,60,94
251,70.0,71.9117930108739,17,92
252,527.0,71.67689857741871,49,93
253,997.0,85.304250617447,61,102
254,147.0,74.32003875354768,35,95
255,580.0,75.69474821106417,60,94
256,245.0,68.50102577211182,29,88
257,580.0,75.69474821106417,60,94
258,811.0,71.31474900957969,57,90
259,580.0,75.69474821106417,60,94
260,546.0,72.64567925506348,54,92
261,580.0,75.69474821106417,60,94
262,901.0,74.06939558037482,62,91
263,580.0,75.69474821106417,60,94
264,853.0,77.12724321307695,62,95
265,96.0,75.97907029789748,25,98
266,314.0,75.99643793900479,48,95
267,735.0,71.71901023479306,51,91
268,758.0,76.64436031092441,51,95
269,215.0,75.43024775391541,22,95
270,1603.0,84.30584438083042,83,103
271,367.0,79.71949903537879,52,100
272,844.0,74.11464140389943,66,91
273,2092.0,77.33752621921916,92,97
274,2628.0,83.54055812554111,88,99
275,1848.0,83.24859309152791,95,100
276,3970.0,85.40785658758404,119,102
277,91.0,78.42483319848083,24,97
278,1048.0,80.53721702210046,73,101
279,1354.0,80.58686905360805,79,102
280,3329.0,85.56143808243182,114,103
281,1402.0,91.33670704669494,91,108
282,2262.0,83.11350072358016,96,101
283,1769.0,73.6944556854245,84,90
284,1552.0,81.92013373647333,75,101
285,607.0,82.4826088614376,57,102
286,664.0,83.99670780506051,60,102
287,5442.0,90.54254213332574,127,104
288,882.0,87.20134829419506,73,104
289,194.0,74.32671996763489,35,93
290,3839.0,83.92685389435599,112,99
291,2045.0,78.86336841963879,92,97
292,2171.0,78.56370900614559,68,97
293,126.0,71.95439747109465,27,93
294,254.0,75.71515063563871,31,94
295,322.0,77.5720950368621,48,98
296,4049.0,85.36972009629734,108,99
297,3990.0,86.40125286322206,121,103
298,2608.0,81.85236194238091,101,98
299,2628.0,83.54055812554111,88,99
300,584.0,75.5581649358956,38,97
301,3990.0,86.40125286322206,121,103
302,2248.0,82.01224380321402,74,99
303,3990.0,86.40125286322206,121,103
304,108.0,71.25772846442516,25,93
305,376.0,74.08780520203337,41,94
306,1913.0,80.70854173030581,71,98
307,733.0,76.0667343483161,35,97
308,200.0,75.01927562464876,39,96
309,1633.0,76.5970987415584,82,96
310,363.0,81.26510563281914,45,101
311,2434.0,81.39359867244589,74,98
312,363.0,81.26510563281914,45,101
313,1668.0,80.33158242628335,73,101
314,1668.0,80.33158242628335,73,101
315,471.0,75.18463229291305,54,95
316,381.0,80.9296708710598,52,102
317,64.0,72.34086857660107,22,91
318,451.0,78.5700746229364,52,97
319,70.0,71.49930806759794,22,89
320,758.0,76.64436031092441,51,95
321,150.0,74.01176529353657,32,94
322,759.0,69.58528472826359,50,90
323,390.0,81.88634145831062,51,102
324,347.0,75.18847288628183,39,97
325,580.0,75.69474821106417,60,94
326,199.0,69.38136799248434,26,92
327,343.0,75.7849718544943,40,95
328,1574.0,74.23318674318116,80,94
329,580.0,75.69474821106417,60,94
330,345.0,75.52968129048377,42,92
331,580.0,75.69474821106417,60,94
332,580.0,75.69474821106417,60,94
333,159.0,82.34968929741696,36,102
334,348.0,74.6542449500648,42,97
335,411.0,74.66043897825232,45,93
336,428.0,65.31246150371496,38,84
337,151.0,62.21221084959579,20,86
338,784.0,75.72185571176483,58,92
339,154.0,76.26433308283865,30,96
340,130.0,74.37233150907511,31,94
341,177.0,77.4944669478657,34,95
342,588.0,65.08336154712067,39,84
343,128.0,75.83528892673563,29,96
344,274.0,75.64090179508912,42,97
345,177.0,77.4944669478657,34,95
346,177.0,77.4944669478657,34,95
347,177.0,77.4944669478657,34,95
348,316.0,74.70269329830316,44,94
349,299.0,68.87745342331684,28,89
350,128.0,75.83528892673563,29,96
351,428.0,65.31246150371496,38,84
352,274.0,75.64090179508912,42,97
353,124.0,75.47420019876037,30,96
354,327.0,72.962591787539,37,96
355,177.0,77.4944669478657,34,95
356,194.0,75.96394600082819,33,96
357,177.0,77.4944669478657,34,95
358,306.0,81.02920919105154,40,100
359,605.0,73.03983958548181,50,91
360,1202.0,79.87206083950419,67,98
361,133.0,76.6121205582481,35,97
362,341.0,75.6782363065348,45,95
363,879.0,75.53221485134128,67,96
364,1117.0,76.87252391006737,61,98
365,342.0,74.08303881406826,44,94
366,342.0,74.08303881406826,44,94
367,943.0,69.76112186634022,57,89
368,178.0,76.29376522731926,40,96
369,130.0,71.79937720614356,15,94
370,128.0,77.6359960785228,32,97
371,505.0,66.97109688421395,42,84
372,861.0,72.47747583553405,64,92
373,147.0,77.8605887250549,33,97
374,304.0,76.88871814592025,39,98
375,243.0,74.09275156017428,35,96
376,1073.0,76.69046596357582,66,97
377,178.0,76.29376522731926,40,96
378,365.0,80.60452050895903,43,103
379,103.0,77.20150560589174,27,97
380,322.0,80.64708939318042,43,101
381,1165.0,79.01688572043945,67,97
382,1312.0,75.83321784489745,73,96
383,243.0,74.09275156017428,35,96
384,352.0,70.87615084074233,34,90
385,249.0,70.11246644144533,37,92
386,317.0,77.32125456570787,40,96
387,879.0,75.53221485134128,67,96
388,168.0,73.20760167390345,39,92
389,472.0,82.24465172293328,43,101
390,864.0,75.21579023075078,63,91
391,168.0,73.20760167390345,39,92
392,168.0,73.20760167390345,39,92
393,128.0,77.6359960785228,32,97
394,1003.0,81.03416939512695,61,101
395,229.0,65.95547742038491,33,88
396,251.0,77.53844649337954,38,97
397,879.0,75.53221485134128,67,96
398,274.0,75.64090179508912,42,97
399,342.0,74.08303881406826,44,94
400,333.0,74.87044922653902,40,93
401,282.0,78.65494167885397,44,96
402,147.0,77.8605887250549,33,97
403,342.0,74.08303881406826,44,94
404,128.0,75.83528892673563,29,96
405,341.0,75.6782363065348,45,95
406,70.0,74.97786774594078,23,96
407,177.0,77.4944669478657,34,95
408,232.0,73.18602791432862,35,91
409,496.0,79.07864365621403,52,97
410,274.0,75.64090179508912,42,97
411,243.0,75.26027528923126,34,97
412,177.0,77.4944669478657,34,95
413,784.0,75.72185571176483,58,92
414,338.0,71.3435232585058,42,95
415,341.0,75.6782363065348,45,95
416,312.0,75.57666954727082,49,95
417,84.0,76.69816707526127,28,96
418,317.0,77.32125456570787,40,96
419,496.0,79.07864365621403,52,97
420,168.0,73.20760167390345,39,92
421,308.0,71.70290925637673,41,90
422,168.0,73.20760167390345,39,92
423,879.0,75.53221485134128,67,96
424,1003.0,81.03416939512695,61,101
425,317.0,77.32125456570787,40,96
426,861.0,72.47747583553405,64,92
427,178.0,76.29376522731926,40,96
428,282.0,78.65494167885397,44,96
429,1003.0,81.03416939512695,61,101
430,879.0,75.53221485134128,67,96
431,342.0,74.08303881406826,44,94
432,368.0,67.05903764788292,42,88
433,342.0,74.08303881406826,44,94
434,1003.0,81.03416939512695,61,101
435,317.0,77.32125456570787,40,96
436,1003.0,81.03416939512695,61,101
437,178.0,76.29376522731926,40,96
438,272.0,66.98120550770919,37,88
439,527.0,65.27522432705751,44,87
440,1127.0,68.45767764117112,59,88
441,274.0,75.64090179508912,42,97
442,232.0,77.15544609955441,36,94
443,128.0,61.93416845029148,27,82
444,1127.0,68.45767764117112,59,88
445,372.0,65.8203910572039,40,86
446,218.0,76.3017531038453,39,95
447,1073.0,76.69046596357582,66,97
448,227.0,73.02346818863597,25,96
449,243.0,74.09275156017428,35,96
450,374.0,63.60683298093648,41,84
451,879.0,75.53221485134128,67,96
452,168.0,73.20760167390345,39,92
453,168.0,73.20760167390345,39,92
454,840.0,74.11709277264312,62,93
455,342.0,74.08303881406826,44,94
456,289.0,72.93702589421758,44,93
457,147.0,77.8605887250549,33,97
458,840.0,74.11709277264312,62,93
459,168.0,73.20760167390345,39,92
460,415.0,68.23983085495746,43,91
461,840.0,74.11709277264312,62,93
462,203.0,79.10458900822813,35,98
463,879.0,75.53221485134128,67,96
464,732.0,76.12467480799579,53,93
465,613.0,75.94450909305047,60,96
466,215.0,72.71112717254539,39,93
467,168.0,73.20760167390345,39,92
468,840.0,74.11709277264312,62,93
469,234.0,64.68886825642136,39,85
470,215.0,72.71112717254539,39,93
471,137.0,67.8199535586063,27,88
472,218.0,79.62452669039753,38,99
473,314.0,64.84825678991999,36,83
474,383.0,80.04296576550996,43,99
475,275.0,77.92336818993248,35,96
476,840.0,74.11709277264312,62,93
477,269.0,74.74470889521719,30,94
478,51.0,68.78535401910524,17,89
479,196.0,65.71941712947044,23,88
480,287.0,71.25426847889663,42,92
481,305.0,77.47299868518915,39,97
482,840.0,74.11709277264312,62,93
483,292.0,76.28291795255701,44,96
484,160.0,75.57784375985766,33,94
485,186.0,76.75038332007229,38,95
486,246.0,71.5827161995355,40,93
487,783.0,74.59393354336444,58,97
488,508.0,75.02218841730841,48,97
489,198.0,77.10957757485468,42,96
490,379.0,66.92199618174052,41,87
491,137.0,67.8199535586063,27,88
492,331.0,75.25193593346272,42,91
493,254.0,74.74375755988787,27,94
494,496.0,58.88853449133838,41,82
495,263.0,73.43205485758268,37,94
496,430.0,71.55778934019645,47,91
497,220.0,60.78663819917237,37,80
498,558.0,72.92931984859413,47,92
499,624.0,74.12918215171922,51,94
500,208.0,75.02754103995362,37,94
501,320.0,76.22797920768154,34,94
